Name,Company,Address,Postal,City,State,Country,Latitude,Longitude,HUC12,HUC12_Name
CoreSpace Dallas Data Center,"CoreSpace, Inc.",7505 John W Carpenter Freeway,75247,Dallas,Texas,USA,32.8175159,-96.8730838,120301050101,Turtle Creek
DataBank DFW1 - Downtown Dallas,DataBank,400 S Akard St,75202,Dallas,Texas,USA,32.7782583,-96.7987576,120301050101,Turtle Creek
Equinix DA1,Equinix,1950 North Stemmons Freeway,75207,Dallas,Texas,USA,32.800748,-96.819412,120301050101,Turtle Creek
Equinix DA6,Equinix,1950 North Stemmons Freeway,75207,Dallas,Texas,USA,32.80139,-96.81953,120301050101,Turtle Creek
Centersquare - Dallas DFW3-A,Csquare,11830 Webb Chapel Rd.,75234,Dallas,Texas,USA,32.91144626627915,-96.87124428217473,120301031007,Bachman Branch-Elm Fork Trinity River
DataBank DFW2 - North Dallas,DataBank,904 Quality Way,75801,Dallas,Texas,USA,32.9662417,-96.7111853,120301060501,Duck Creek
Alpha Data Center,M&A Technology Inc.,4407 Alpha Road,75244,Dallas,Texas,USA,32.9334999,-96.8346108,120301031005,Farmers Branch-Elm Fork Trinity River
Tierpoint Dallas-Allen,TierPoint,820 Allen Commerce Parkway,75013,Allen,Texas,USA,33.1379111,-96.6573764,120301060207,Lower Wilson Creek
Equinix DA11,Equinix,1990 North Stemmons Freeway,75207,Dallas,Texas,USA,32.80131573122965,-96.82107483476483,120301050101,Turtle Creek
Equinix DA2,Equinix,1950 North Stemmons Freeway,75207,Dallas,Texas,USA,32.800748,-96.819412,120301050101,Turtle Creek
Prime Dallas - Data Center 1,Prime Data Centers,1515 Round Table,75247,Dallas,Texas,USA,32.8379029,-96.8784099,120301050101,Turtle Creek
Evocative DAL6,Evocative Data Centers,1221 Coit Road,75075,Plano,Texas,USA,33.015681,-96.768421,120301050104,Floyd Branch-White Rock Creek
TierPoint Dallas - Fort Worth,TierPoint,13701 Independence,76177,Fort Worth,Texas,USA,32.9796568,-97.2523056,120301040305,Marshall Branch-Grapevine Lake
Cogent Data Center - Dallas,"Cogent Communications, Inc.",400 S. Akard St,75202,Dallas,Texas,USA,32.77825,-96.798971,120301050101,Turtle Creek
Prime Dallas - Data Center 2,Prime Data Centers,1517 Round Table,75247,Dallas,Texas,USA,32.8379375,-96.8783504,120301050101,Turtle Creek
