Name,Company,Address,Postal,City,State,Country
Project Baccara Campus,"Takanock, LLC",14707-14323 W Olive Ave,85355,Waddell,Arizona,USA
Meta Mesa - Building 3,Meta,3841 S Ellsworth Rd,85212,Mesa,Arizona,USA
Vantage AZ12 - Phoenix,Vantage Data Centers,45 S Bullard Ave,85338,Goodyear,Arizona,USA
Vantage AZ11 - Phoenix,Vantage Data Centers,45 S Bullard Ave,85338,Goodyear,Arizona,USA
Google Mesa - Phase 1,Google,E Elliot Rd & S Sossaman Rd,85212,Mesa,Arizona,USA
STACK Infrastructure PHX01A,STACK INFRASTRUCTURE,W Lower Buckeye Rd & S Litchfield Rd,85323,Avondale,Arizona,USA
STACK Infrastructure PHX01B,STACK INFRASTRUCTURE,W Lower Buckeye Rd & S Litchfield Rd,85323,Avondale,Arizona,USA
GDC - Phoenix PH5 Data Center,"NTT DATA, Inc.",10256 E Elliot Rd,85212,Mesa,Arizona,USA
Meta Mesa - Building 2,Meta,3841 S Ellsworth Rd,85212,Mesa,Arizona,USA
AT&T Mesa,AT&T,1355 W University Drive,85201,Mesa,Arizona,USA
Vantage AZ13 - Phoenix,Vantage Data Centers,45 S Bullard Ave,85338,Goodyear,Arizona,USA
Google Mesa - Phase 2,Google,E Elliot Rd & S Sossaman Rd,85212,Mesa,Arizona,USA
Lumen Phoenix 2,Lumen,17 E. Virginia Ave,85004,Phoenix,Arizona,USA
Google Mesa - Phase 3,Google,E Elliot Rd & S Sossaman Rd,85212,Mesa,Arizona,USA
Amazon AWS PHX - Pecos Road Campus,Amazon AWS,9848-10464 E Pecos Road ,85212,Mesa,Arizona,USA
Meta Mesa - Building 5,Meta,3841 S Ellsworth Rd,85212,Mesa,Arizona,USA
GDC - Phoenix PH3 Data Center,"NTT DATA, Inc.",10256 E Elliot Rd,85212,Mesa,Arizona,USA
Meta Mesa - Building 1,Meta,3841 S Ellsworth Rd,85212,Mesa,Arizona,USA
STACK Infrastructure PHX01C,STACK INFRASTRUCTURE,W Lower Buckeye Rd & S Litchfield Rd,85323,Avondale,Arizona,USA
Meta Mesa - Building 4,Meta,3841 S Ellsworth Rd,85212,Mesa,Arizona,USA
Lumen Phoenix 1,Lumen,811 South 16th Street,85034,Phoenix,Arizona,USA
GDC - Phoenix PH2 Data Center,"NTT DATA, Inc.",10256 E Elliot Rd,85212,Mesa,Arizona,USA
Menlo Digital MD-PX1 (Phoenix),Menlo Digital,4801-4811 E Thistle Landing Dr,85044,Phoenix,Arizona,USA
Lumen Phoenix 4,Lumen,3220 N 3rd St,85012,Phoenix,Arizona,USA
Menlo Digital MD-PX1 - Building 5,Menlo Digital,4801-4811 E Thistle Landing Dr,85044,Phoenix,Arizona,USA
Menlo Digital MD-PX1 - Building 2,Menlo Digital,4801-4811 E Thistle Landing Dr,85044,Phoenix,Arizona,USA
Menlo Digital MD-PX1 - Building 3,Menlo Digital,4801-4811 E Thistle Landing Dr,85044,Phoenix,Arizona,USA
Menlo Digital MD-PX1 - Building 1,Menlo Digital,4801-4811 E Thistle Landing Dr,85044,Phoenix,Arizona,USA
Menlo Digital MD-PX1 - Building 4,Menlo Digital,4801-4811 E Thistle Landing Dr,85044,Phoenix,Arizona,USA
Login DC2,"Login, LLC",1855 N 6th Ave,85705,Tucson,Arizona,USA
Winsor Colocation ,Winsor Consulting Group,3821 E Broadway Blvd,85716,Tucson,Arizona,USA
Ark Data Centers Tucson,Ark Data Centers,1215 E Pennsylvania St,85706,Tucson,Arizona,USA
TECfusions Tucson,TECfusions,3701 E Columbia St,85714,Tucson,Arizona,USA
Simply Bits  Vault,Simply Bits LLLC,5225 N Sabino Canyon Rd,85750,Tucson,Arizona,USA
Project Blue,Beale Infrastructure,S Harrison Rd / E Brekke Rd / S Houghton Rd,85747,Tucson,Arizona,USA
Login DC1,"Login, LLC",4003 East Speedway Boulevard,85712,Tucson,Arizona,USA
FirstDigital Tucson,FirstDigital,3836 S Evans Blvd,85714,Tucson,Arizona,USA
Lumen Tucson,Lumen,135 N. 6th Avenue,85701,Tucson,Arizona,USA
MDC Nogales - NOG1,MDC Data Centers,81 N Sonoita Ave,85621,Nogales,Arizona,USA
Brightspeed Russellville,Brightspeed,214 S Denver Ave,72801,Russellville,Arkansas,USA
Ritter Communications Data Technology Center,Ritter Communications,2400 Ritter Dr,72401,Jonesboro,Arkansas,USA
Google West Memphis,Google,Bollinger Rd,72376,West Memphis,Arkansas,USA
Serverfarm Clarksville,Serverfarm,Taylor Rd,72830,Clarksville,Arkansas,USA
TierPoint Little Rock,TierPoint,15707 Chenal Parkway,72223,Little Rock,Arkansas,USA
Mainstream Technologies,"Mainstream Technologies, Inc.",325 W. Capitol Ave.,72201,Little Rock,Arkansas,USA
AVAIO Digital Leo,AVAIO Digital,"within west of Wrightsville, along 145th St",72206,Wrightsville,Arkansas,USA
Sollensys Little Rock,Sollensys,208-216 Atkins Rd,72211,Little Rock,Arkansas,USA
"ForgeLight Ventures, LLC",Unknown Company,Lollie Rd,72034,Conway,Arkansas,USA
Windstream Little Rock,Windstream,4001 N Rodney Parham Rd,72212,Little Rock,Arkansas,USA
Google Little Rock Port,Google,Riverport Rd,72206,Little Rock,Arkansas,USA
Lumen Tustin,Lumen,14452 Franklin Avenue,92780,Tustin,California,USA
"Sierra Morena Tower, LLC","Sierra Morena Tower, LLC",15040 Skyline Blvd,94062,Redwood City,California,USA
Equinix SV8,Equinix,529 Bryant St,94301,Palo Alto,California,USA
AT&T Redwood,AT&T,3175 Spring Street,94063,Redwood City,California,USA
Viridio Solar Powered Data Center,Viridio,25655 Louisa Lane,92585,Romoland,California,USA
